 2px  = 0.125rem
 4px  = 0.25rem
 6px  = 0.375rem
 8px  = 0.5rem
10px  = 0.625rem
12px  = 0.75rem
14px  = 0.875rem
16px  = 1rem
18px  = 1.125rem
20px  = 1.25rem
22px  = 1.375rem
24px  = 1.5rem
26px  = 1.625rem
28px  = 1.75rem
30px  = 1.875rem
32px  = 2rem
34px  = 2.125rem
36px  = 2.25rem
38px  = 2.375rem
40px  = 2.5rem
42px  = 2.625rem
44px  = 2.75rem
46px  = 2.875rem
48px  = 3rem
50px  = 3.125rem
52px  = 3.25rem
54px  = 3.375rem
56px  = 3.5rem
58px  = 3.625rem
60px  = 3.75rem
62px  = 3.875rem
64px  = 4rem
